episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
221,20.0,-4.021780565135675,-2.2216985239559146,-167.60954202012377,-14.671195789921995,2.72688833629473,[-14.671195789921995 2.72688833629473],1.3464731009881081,False,True,2.2832383954924844,14,59.99785047027138,846.466,in_progress,0.0,0
221,21.0,-4.121872544263706,-2.21584412688903,-173.59845402295858,-23.235177890865998,2.7698555236139413,[-23.235177890865998 2.7698555236139413],1.1032705773889673,False,True,2.450994801289551,14,59.99785047027138,846.526,in_progress,0.0,0
221,22.0,-4.268353717774799,-2.191670047480869,177.99432983176285,-30.0,2.485524554774306,[-30.0 2.485524554774306],1.063220830206079,False,True,2.694272980016478,15,59.99785047027138,846.593,in_progress,0.0,0
221,23.0,-4.3880577676624375,-2.1573605317828584,170.73530426008253,-26.02231440439776,3.325380882853638,[-26.02231440439776 3.325380882853638],1.2841365664947366,False,True,2.893125920296807,15,59.99785047027138,846.669,in_progress,0.0,0
221,24.0,-4.525409925946781,-2.1056997419091386,163.24333430617423,2.789628751384349,2.2924246585640216,[2.789628751384349 2.2924246585640216],1.3245003947753695,False,True,3.121436260814525,16,59.99785047027138,846.748,in_progress,0.0,0
221,25.0,-4.690449826481281,-2.037334561567399,156.06359691037397,30.0,0.5458927701079941,[30.0 0.5458927701079941],0.6174379174361138,False,True,3.417251376406244,16,59.99785047027138,846.803,in_progress,0.0,0
221,26.0,-4.81646675676736,-1.9975184179734429,154.5281901218852,2.0168815017402864,0.5404965047676273,[2.0168815017402864 0.5404965047676273],0.7923188470515262,False,True,3.632063181293954,17,59.99785047027138,846.87,in_progress,0.0,0
221,27.0,-4.937722126191403,-1.9626007353060264,156.1917527580147,30.0,2.9704622589524647,[30.0 2.9704622589524647],1.1872776379225696,False,True,3.859949986230568,19,59.99785047027138,846.949,in_progress,0.0,0
221,28.0,-5.0715435199106995,-1.9281190529549321,160.53888759062554,-20.79474082997948,1.33750439836296,[-20.79474082997948 1.33750439836296],0.8498822154949262,False,True,4.114736003012556,20,59.99785047027138,847.011,in_progress,0.0,0
221,29.0,-5.190973713611017,-1.9068351756667135,165.08814272982508,13.071526793130687,2.8859734094647713,[13.071526793130687 2.8859734094647713],1.5075919931059787,False,True,4.326965487897978,20,59.99785047027138,847.078,in_progress,0.0,0
221,30.0,-5.306246234203795,-1.887980225717783,167.9256739559992,19.081950735478777,0.5,[19.081950735478777 0.5],0.7001878089904093,False,True,4.569386133542129,21,59.99785047027138,847.147,in_progress,0.0,0
221,31.0,-5.444906646221714,-1.8835247489050966,173.33956975331088,-30.0,0.835422846101276,[-30.0 0.835422846101276],0.7898980964777141,False,True,4.791344429529117,22,59.99785047027138,847.206,in_progress,0.0,0
221,32.0,-5.543445230596863,-1.8847076700217376,176.43438032033106,-24.179975072426622,4.0,[-24.179975072426622 4.0],1.6277929274184275,False,True,4.936641264517945,23,59.99785047027138,847.273,in_progress,0.0,0
221,33.0,-5.652957521490109,-1.8757761119935206,175.97607295705134,5.06900865530347,3.881814868438684,[5.06900865530347 3.881814868438684],2.0122393840593693,False,True,5.110217624103543,23,59.99785047027138,847.338,in_progress,0.0,0
221,34.0,-5.7704586596905605,-1.8627909463281083,174.9932190522545,-30.0,0.5,[-30.0 0.5],0.8077168594444468,False,True,5.27852852643764,24,59.99785047027138,847.409,in_progress,0.0,0
221,35.0,-5.888884746589035,-1.8543480054087123,176.9664163705403,-30.0,0.5,[-30.0 0.5],0.7479309048757086,False,True,5.436911121099788,25,59.99785047027138,847.477,in_progress,0.0,0
221,36.0,-5.985239001521707,-1.8431490240793815,176.96688483653392,-22.333200229186815,0.6346165983922571,[-22.333200229186815 0.6346165983922571],0.7800401684537301,False,True,5.551946373447761,25,59.99785047027138,847.542,in_progress,0.0,0
221,37.0,-6.069357992747194,-1.8287568229010764,174.9962464756877,30.0,0.5,[30.0 0.5],0.7487636423683972,False,True,5.629178666511849,25,59.99785047027138,847.605,in_progress,0.0,0
221,38.0,-6.135877473598062,-1.817796225783011,173.84980633765318,30.0,0.5,[30.0 0.5],0.6800773654001868,False,True,5.712883144092749,26,59.99785047027138,847.674,in_progress,0.0,0
221,39.0,-6.1934150667468,-1.8187251774942181,175.53444940925985,5.748816579534434,0.7062257239480696,[5.748816579534434 0.7062257239480696],0.8980268378036349,False,True,5.771763254532941,26,59.99785047027138,847.737,in_progress,0.0,0
221,40.0,-6.252202844740224,-1.8234840777797825,177.70246454021216,-30.0,1.7723255544638405,[-30.0 1.7723255544638405],0.9286352154672253,False,True,5.8269738335526595,26,59.99785047027138,847.811,in_progress,0.0,0
221,41.0,-6.308066767902888,-1.823226719310236,177.95390134762357,23.85436524061695,3.0898780123603795,[23.85436524061695 3.0898780123603795],0.5673956514906419,False,True,5.840837588874255,26,59.99785047027138,847.88,in_progress,0.0,0
221,42.0,-6.380889684140272,-1.823557314940014,179.09676095863642,-24.26856989125202,4.0,[-24.26856989125202 4.0],0.2798168705367667,False,False,5.840837588874255,26,59.99785047027138,847.938,in_progress,0.0,0
221,43.0,-6.445464827156994,-1.8295104413552907,-179.32243822058388,12.95633936971791,1.3477500942677132,[12.95633936971791 1.3477500942677132],0.3462061822587793,False,False,5.858873853610111,26,59.99785047027138,848.009,in_progress,0.0,0
221,44.0,-6.540615304417155,-1.839374687186328,-177.61595950641174,-30.0,1.3581991819990755,[-30.0 1.3581991819990755],0.27621201965143116,False,False,5.918828992530667,26,59.99785047027138,848.079,in_progress,0.0,0
221,45.0,-6.631490523232308,-1.848232241909091,-176.51885021647738,-30.0,0.5,[-30.0 0.5],0.2754580258036086,True,False,5.976919427814149,26,59.99785047027138,848.142,off_track,0.0,0
222,1.0,-5.733743042620225,-1.8657900400531275,152.90613293252852,-30.0,1.8456125807785884,[-30.0 1.8456125807785884],0.0,False,True,0.232042009915287,24,59.99785047027138,848.272,prepare,0.0,0
222,2.0,-5.733728371193323,-1.8657606782606324,152.8919469625821,-25.047373716992304,1.5979707761366884,[-25.047373716992304 1.5979707761366884],0.6174176789675346,False,True,0.23204830624477119,24,59.99785047027138,848.346,in_progress,0.0,0
222,3.0,-5.737829064135182,-1.8619585892826966,152.73200215837454,-30.0,0.5,[-30.0 0.5],0.30526938876024096,False,True,0.24123618328156377,24,59.99785047027138,848.411,in_progress,0.0,0
222,4.0,-5.748131913493772,-1.8402486839344834,149.21302398215985,30.0,4.0,[30.0 4.0],1.1316073893480973,False,True,0.2750118419040021,24,59.99785047027138,848.484,in_progress,0.0,0
222,5.0,-5.766373997179333,-1.8080909890358914,144.9934196118514,-30.0,1.9014340588592182,[-30.0 1.9014340588592182],0.6322158513735943,False,True,0.3330902978170111,24,59.99785047027138,848.543,in_progress,0.0,0
222,6.0,-5.79153393714893,-1.7832407891374364,143.5330856961383,-30.0,1.5780262865603703,[-30.0 1.5780262865603703],0.5587791091796148,False,True,0.3919059710310577,24,59.99785047027138,848.611,in_progress,0.0,0
222,7.0,-5.81817781839247,-1.72936855345039,137.17248737804596,30.0,4.0,[30.0 4.0],1.1575818528164312,False,True,0.4842692470990964,25,59.99785047027138,848.668,in_progress,0.0,0
222,8.0,-5.843405676958336,-1.6734364958130188,131.9559955151299,-21.874222802145812,3.941153416562035,[-21.874222802145812 3.941153416562035],1.1648282342244807,False,True,0.5949766691565008,25,59.99785047027138,848.736,in_progress,0.0,0
222,9.0,-5.87857622807622,-1.6086066224285174,127.69437304236486,-30.0,0.5,[-30.0 0.5],0.3605489594731448,False,True,0.7159195222415025,26,59.99785047027138,848.806,in_progress,0.0,0
222,10.0,-5.894051595348773,-1.5359669633806023,119.39095591987868,20.035746184407422,0.5,[20.035746184407422 0.5],0.3540306607630773,False,True,0.8592628900108354,26,59.99785047027138,848.867,in_progress,0.0,0
